,Unnamed: 0,ID,tipo_declaracion,ID_video,duracion_video_seg,transcripcion_video,estado_verificado,estado_bloqueo_autor,vistas_video,likes_video,compartido_video,descargas_video,comentarios_video,largo_de_texto
0,0,1,1,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,0,2,343296.0,19425.0,241.0,1.0,0.0,1
1,1,2,1,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,0,1,140877.0,77355.0,19034.0,1161.0,684.0,1
2,2,3,1,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",0,1,902185.0,97690.0,2858.0,833.0,329.0,1
3,3,4,1,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",0,1,437506.0,239954.0,34812.0,1234.0,584.0,1
4,4,5,1,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,0,1,56167.0,34987.0,4110.0,547.0,152.0,1
5,5,6,1,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,0,2,336647.0,175546.0,62303.0,4293.0,1857.0,1
6,6,7,1,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,0,1,750345.0,486192.0,193911.0,8616.0,5446.0,1
7,7,8,1,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",0,1,547532.0,1072.0,50.0,22.0,11.0,1
8,8,9,1,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,0,1,24819.0,10160.0,1050.0,53.0,27.0,1
9,9,10,1,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,1,1,931587.0,171051.0,67739.0,4104.0,2540.0,1
10,10,11,1,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,0,1,695641.0,238030.0,23062.0,1719.0,378.0,1
11,11,12,1,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,0,1,482046.0,168107.0,19474.0,3282.0,532.0,1
12,12,13,1,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,0,1,700081.0,434565.0,97995.0,2408.0,1411.0,1
13,13,14,1,3850678773,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",0,2,929685.0,497236.0,154917.0,1225.0,805.0,1
14,14,15,1,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,0,1,937231.0,237318.0,81496.0,1867.0,960.0,1
15,15,16,1,9277685719,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",0,1,746186.0,193.0,29.0,2.0,0.0,1
16,16,17,1,9346511024,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,0,1,923007.0,67714.0,17710.0,845.0,536.0,1
17,17,18,1,9533847147,27,"someone shared with me that a common garden snail has over 12,000 teeth",0,1,467702.0,40435.0,2804.0,495.0,327.0,1
18,18,19,1,2359906270,11,someone shared with me that we only see the same side of the moon,0,1,168594.0,105245.0,37929.0,1723.0,694.0,1
19,19,20,1,7146819625,34,someone shared with me that the moon was once part of the earth,0,1,249935.0,20437.0,2240.0,212.0,70.0,1
